homeTeam,homeFirstQuater,homeSecondQuater,homeThirdQuater,homeFourthQuater,homeOTQuater,homeTotalScore,awayTeam,awayFirstQuater,awaySecondQuater,awayThirdQuater,awayFourthQuater,awayOTQuater,awayTotalScore,date,preseason,postseason
Jets,7,7,3,7,0,24,Colts,3,28,7,7,0,45,1:2001:False:False,False,False
Bengals,0,10,13,0,0,23,Patriots,0,10,0,7,0,17,1:2001:False:False,False,False
Bills,3,3,0,0,0,6,Saints,0,0,17,7,0,24,1:2001:False:False,False,False
Chiefs,7,7,3,7,0,24,Raiders,6,0,8,13,0,27,1:2001:False:False,False,False
Chargers,10,10,0,10,0,30,Redskins,0,0,3,0,0,3,1:2001:False:False,False,False
Eagles,3,0,0,14,0,17,Rams,7,7,3,0,3,20,1:2001:False:False,False,False
49ers,0,3,0,10,3,16,Falcons,7,3,3,0,0,13,1:2001:False:False,False,False
Titans,0,7,7,9,0,23,Dolphins,10,7,7,7,0,31,1:2001:False:False,False,False
Broncos,7,7,7,10,0,31,Giants,0,7,7,6,0,20,1:2001:False:False,False,False
Dolphins,0,7,3,8,0,18,Raiders,3,3,3,6,0,15,2:2001:False:False,False,False
Chiefs,0,0,3,0,0,3,Giants,3,10,0,0,0,13,2:2001:False:False,False,False
Browns,7,7,10,0,0,24,Lions,0,0,7,7,0,14,2:2001:False:False,False,False
Falcons,7,3,7,7,0,24,Panthers,3,7,3,3,0,16,2:2001:False:False,False,False
Cowboys,0,14,0,7,0,21,Chargers,14,6,6,6,0,32,2:2001:False:False,False,False
Jaguars,3,7,3,0,0,13,Titans,3,3,0,0,0,6,2:2001:False:False,False,False
Bears,0,0,3,14,0,17,Vikings,3,0,7,0,0,10,2:2001:False:False,False,False
Bengals,0,0,14,7,0,21,Ravens,3,0,0,7,0,10,2:2001:False:False,False,False
Colts,14,21,7,0,0,42,Bills,7,10,3,6,0,26,2:2001:False:False,False,False
Patriots,3,0,0,0,0,3,Jets,0,3,7,0,0,10,2:2001:False:False,False,False
49ers,0,16,0,10,0,26,Rams,9,3,10,8,0,30,2:2001:False:False,False,False
Seahawks,0,3,0,0,0,3,Eagles,3,14,0,10,0,27,2:2001:False:False,False,False
Cardinals,3,7,0,7,0,17,Broncos,0,17,14,7,0,38,2:2001:False:False,False,False
Packers,7,3,10,17,0,37,Redskins,0,0,0,0,0,0,2:2001:False:False,False,False
Redskins,3,7,3,0,0,13,Chiefs,0,28,7,10,0,45,3:2001:False:False,False,False
Vikings,7,3,3,7,0,20,Buccaneers,3,3,3,7,0,16,3:2001:False:False,False,False
Bills,0,3,0,0,0,3,Steelers,7,3,0,10,0,20,3:2001:False:False,False,False
Giants,0,14,0,7,0,21,Saints,0,3,0,10,0,13,3:2001:False:False,False,False
Rams,7,14,7,14,0,42,Dolphins,7,3,0,0,0,10,3:2001:False:False,False,False
Patriots,7,13,3,21,0,44,Colts,0,0,7,6,0,13,3:2001:False:False,False,False
Panthers,0,7,0,0,0,7,Packers,0,6,15,7,0,28,3:2001:False:False,False,False
Cardinals,0,0,7,7,0,14,Falcons,10,3,7,14,0,34,3:2001:False:False,False,False
Raiders,7,17,14,0,0,38,Seahawks,0,0,7,7,0,14,3:2001:False:False,False,False
Jaguars,0,0,14,0,0,14,Browns,3,10,0,10,0,23,3:2001:False:False,False,False
Chargers,0,7,14,7,0,28,Bengals,0,7,0,7,0,14,3:2001:False:False,False,False
Broncos,10,0,3,0,0,13,Ravens,3,3,7,7,0,20,3:2001:False:False,False,False
Eagles,7,26,7,0,0,40,Cowboys,6,0,0,12,0,18,3:2001:False:False,False,False
Jets,7,0,3,7,0,17,49ers,0,13,3,3,0,19,3:2001:False:False,False,False
Steelers,0,10,0,6,0,16,Bengals,0,0,0,7,0,7,4:2001:False:False,False,False
Eagles,7,10,0,3,0,20,Cardinals,14,0,0,7,0,21,4:2001:False:False,False,False
Falcons,0,0,0,3,0,3,Bears,0,10,0,21,0,31,4:2001:False:False,False,False
Giants,3,6,0,14,0,23,Redskins,3,3,3,0,0,9,4:2001:False:False,False,False
Ravens,7,10,3,6,0,26,Titans,0,0,7,0,0,7,4:2001:False:False,False,False
Browns,0,10,0,10,0,20,Chargers,3,0,7,6,0,16,4:2001:False:False,False,False
Dolphins,7,10,10,3,0,30,Patriots,7,3,0,0,0,10,4:2001:False:False,False,False
Saints,6,9,10,3,0,28,Vikings,7,0,8,0,0,15,4:2001:False:False,False,False
Bills,6,9,7,14,0,36,Jets,21,7,14,0,0,42,4:2001:False:False,False,False
Broncos,7,3,3,7,0,20,Chiefs,0,6,0,0,0,6,4:2001:False:False,False,False
Seahawks,14,7,0,3,0,24,Jaguars,3,9,3,0,0,15,4:2001:False:False,False,False
Raiders,7,14,7,0,0,28,Cowboys,0,7,7,7,0,21,4:2001:False:False,False,False
Buccaneers,0,7,0,7,0,14,Packers,0,7,3,0,0,10,4:2001:False:False,False,False
49ers,0,10,14,0,0,24,Panthers,0,7,7,0,0,14,4:2001:False:False,False,False
Lions,0,0,0,0,0,0,Rams,7,14,0,14,0,35,4:2001:False:False,False,False
Packers,0,17,7,7,0,31,Ravens,7,0,3,13,0,23,5:2001:False:False,False,False
Bengals,3,0,10,11,0,24,Browns,7,0,0,7,0,14,5:2001:False:False,False,False
Vikings,7,17,7,0,0,31,Lions,3,3,7,13,0,26,5:2001:False:False,False,False
Bears,3,10,7,0,0,20,Cardinals,0,6,0,7,0,13,5:2001:False:False,False,False
Panthers,0,6,6,13,0,25,Saints,10,7,3,7,0,27,5:2001:False:False,False,False
Titans,7,10,0,11,3,31,Buccaneers,0,7,7,14,0,28,5:2001:False:False,False,False
Falcons,14,6,0,11,0,31,49ers,0,7,10,14,6,37,5:2001:False:False,False,False
Rams,6,3,0,6,0,15,Giants,7,0,0,7,0,14,5:2001:False:False,False,False
Chiefs,0,2,0,15,0,17,Steelers,0,6,14,0,0,20,5:2001:False:False,False,False
Patriots,3,6,7,10,3,29,Chargers,3,3,7,13,0,26,5:2001:False:False,False,False
Seahawks,10,14,7,3,0,34,Broncos,0,14,0,7,0,21,5:2001:False:False,False,False
Jets,0,0,14,7,0,21,Dolphins,7,10,0,0,0,17,5:2001:False:False,False,False
Colts,0,9,6,3,0,18,Raiders,3,10,7,3,0,23,5:2001:False:False,False,False
Cowboys,0,3,0,6,0,9,Redskins,0,0,0,7,0,7,5:2001:False:False,False,False
Jaguars,0,0,7,3,0,10,Bills,0,3,7,3,0,13,6:2001:False:False,False,False
Saints,0,10,0,3,0,13,Falcons,10,0,0,10,0,20,6:2001:False:False,False,False
Browns,7,3,14,0,0,24,Ravens,0,6,0,8,0,14,6:2001:False:False,False,False
Redskins,0,0,0,14,3,17,Panthers,7,0,0,7,0,14,6:2001:False:False,False,False
Buccaneers,0,3,0,7,0,10,Steelers,0,7,10,0,0,17,6:2001:False:False,False,False
Jets,0,7,0,7,0,14,Rams,0,21,10,3,0,34,6:2001:False:False,False,False
Lions,0,14,0,10,0,24,Titans,3,6,8,10,0,27,6:2001:False:False,False,False
Bengals,0,0,0,0,0,0,Bears,3,7,7,7,0,24,6:2001:False:False,False,False
Colts,3,3,11,0,0,17,Patriots,7,21,3,7,0,38,6:2001:False:False,False,False
Cardinals,0,3,7,14,0,24,Chiefs,3,6,0,7,0,16,6:2001:False:False,False,False
Chargers,7,6,7,7,0,27,Broncos,0,7,3,0,0,10,6:2001:False:False,False,False
Vikings,0,20,0,15,0,35,Packers,0,0,7,6,0,13,6:2001:False:False,False,False
Giants,3,6,0,0,0,9,Eagles,0,0,3,7,0,10,6:2001:False:False,False,False
Chiefs,0,3,11,14,0,28,Colts,0,7,10,18,0,35,7:2001:False:False,False,False
Buccaneers,7,21,13,0,0,41,Vikings,0,0,8,6,0,14,7:2001:False:False,False,False
Bears,0,9,7,15,6,37,49ers,14,0,14,3,0,31,7:2001:False:False,False,False
Panthers,6,3,3,0,0,12,Jets,7,0,3,3,0,13,7:2001:False:False,False,False
Rams,14,10,0,7,0,31,Saints,3,3,25,3,0,34,7:2001:False:False,False,False
Ravens,0,3,3,12,0,18,Jaguars,0,3,7,7,0,17,7:2001:False:False,False,False
Lions,3,10,14,0,0,27,Bengals,7,14,3,7,0,31,7:2001:False:False,False,False
Redskins,14,3,10,8,0,35,Giants,0,14,0,7,0,21,7:2001:False:False,False,False
Cowboys,0,3,14,0,0,17,Cardinals,3,0,0,0,0,3,7:2001:False:False,False,False
Broncos,7,3,14,7,0,31,Patriots,10,7,3,0,0,20,7:2001:False:False,False,False
Seahawks,0,14,3,3,0,20,Dolphins,0,10,7,7,0,24,7:2001:False:False,False,False
Eagles,0,3,0,7,0,10,Raiders,7,3,7,3,0,20,7:2001:False:False,False,False
Chargers,10,3,0,14,0,27,Bills,0,10,0,14,0,24,7:2001:False:False,False,False
Steelers,7,10,10,7,0,34,Titans,0,7,0,0,0,7,7:2001:False:False,False,False
